name,full_name,dob,age,height,weight,eye_color,hair_color,zodiac_sign,hometown,nationality,education_qualification,religion,food_habit,hobbies,marital_status,salary,net_worth,image_path
Abhay Deol,Abhay Deol,15 March 1976,,185 cm,77 kg,Dark Brown,Black,Pisces,Mumbai_Maharashtra_India,Indian,College dropout,Sikhism,,Interior designing_travelling_yoga_martial arts ,Unmarried,2-4 crore/film (INR),Not Known,images/Abhay_Deol.jpg
Abhishek Bachchan,Abhishek Bachchan,5 February 1976 (Thursday),44 Years,188 cm,,Dark Brown ,Black,Aquarius,Mumbai_Maharashtra_India,Indian,Attended a Business course at the Boston University (dropout),Hindusim,Non-Vegetarian,Watching Films_Driving_Sketching_Cooking,Married,Rs. 10-12 Crore/film,$30 Million (₹200 Crore),images/Abhishek_Bachchan.jpg
Abbas Ali,Abbas Ali,Not Known,,168 cm,80 kg,Black,Black,Not Known,Mumbai_India,Indian,Masters in Sports and Nutritions,Islam,,Swimming_Horse-Riding,Married,,,images/Abbas_Ali.jpg
Aashish Chaudhary,Aashish Chaudhary,21 July 1978 (Friday),,175 cm,,Dark Brown,Black,Cancer,Guwahati_Assam_India,Indian,,,,Travelling_Gymming_Swimming,Married,,,images/Aashish_Chaudhary.jpg
Aamir Khan,Mohammed Aamir Hussain Khan ,14 March 1965,55 Years,168 cm,70 kg,Brown,Black,Pisces,Mumbai_Maharashtra_India,Indian,12th Standard,Islam,"Vegetarian (At the age of 50, he decided to quit non-vegetarian)",Listening Old Music_Watching Movies_Playing Chess_Tennis and Cricket,Married,₹60 crore/film,₹1302 Crore ($200 Million),images/Aamir_Khan.jpg
Adil Hussain,Adil Hussain,5 October 1963,, 180 cm, 72 kg,,,Libra,Goalpara_Assam_India,Indian,,Islam,,Not Known,Married,,,images/Adil_Hussain.jpg
Aadhi Pinisetty,Aadhi Pinisetty,14 December 1982,, 183 cm, 75 kg,Black,Black,Sagittarius,Chennai_Tamil Nadu_India,Indian,BE (Bachelor of Engineering) in Computer Science,Hinduism,,Reading books_watching films,Unmarried,3 crore/film (INR),Not Known,images/Aadhi_Pinisetty.jpg
Aditya Pancholi,Aditya Pancholi,4 January 1965,,191 cm,74 kg,Grey,Black,Capricorn,Mumbai_Maharashtra_India,Indian ,Not Known,Hindu,,Partying,Married,Not Known,20 Crore (INR),images/Aditya_Pancholi.jpg
Adhyayan Suman,Adhyayan Suman,13 January 1988,,180 cm,69 kg,Black,Black,Capricorn,Mumbai_India,Indian ,Not Known,Hindu,,Buying shades and perfumes,Unmarried,Not Known,Not Known,images/Adhyayan_Suman.jpg
Omi Vaidya,Omi Vaidya,10 January 1982,,168 cm,68 kg,Black,Black,Capricorn,Los Angeles_United States,American,Graduation,Hinduism,,Not Known,Married,,,images/Omi_Vaidya.jpg
