name,full_name,dob,age,height,weight,eye_color,hair_color,zodiac_sign,hometown,nationality,education_qualification,religion,food_habit,hobbies,marital_status,salary,net_worth,image_path
Arijit Singh,Arijit Singh,25 April 1987,,168 cm,76 kg,Black,Black,Taurus,Jiaganj_Murshidabad_West Bengal_India,Indian ,Not Known,Hindu,,Cycling_Reading_Photography_Playing Badminton_Writing and Making Documentaries,Married,Rs. 13 lakhs/song,Rs. 7 million,images/Arijit_Singh.jpg
Shraddha Kapoor,Shraddha Kapoor,3 March 1987 ,,165 cm,52 kg,Hazel Brown,Black,Pisces,Mumbai_Maharashtra_India,Indian,High School,Hinduism,,Collecting shoes_cooking_reading,Unmarried,"4 crore/film (INR),
","$3 million,
",images/Shraddha_Kapoor.jpg
"Mohanlal Height,","Mohanlal Height,",21 May 1960,, 172 cm, 82 kg,,,Taurus,Kochi_Kerala_India,Indian,,Hindu,,Collecting antiques & artifacts,Married,2 to 3 Crore/film (INR),Not Known,"images/Mohanlal_Height,.jpg"
Virat Kohli,Virat Kohli,5 November 1988,,175 cm,,Dark Brown,Black,Scorpio,Delhi_India,Indian ,12th standard,Hinduism,Vegetarian (turned vegetarian in October 2019) ,Workout_travelling_singing_dancing,Married," Rs. 7 crore ,
, Rs. 15 lakh ,
, Rs. 6 lakh ,
, Rs. 3 lakh,
, Rs. 17 crore",Rs. 400 Crore ,images/Virat_Kohli.jpg
Anushka Sharma,Anushka Sharma,1 May 1988 ,,175 cm,55 kg,Hazel Brown,Black,Taurus,She basically belongs to Ayodhya_Uttar Pradesh but she grew up in Bengaluru and now she is settled in Mumbai.,Indian,"Bachelor of Arts (B.A.),
Masters in Economics (Correspondence)",Hinduism,Vegetarian ,Dancing_Reading,Married,₹8 Crore/Film (as in 2018),$9 Million,images/Anushka_Sharma.jpg
Hrithik Roshan,Hrithik Roshan,10 January 1974,,180 cm,85 kg,Hazel Green,Black,Capricorn,Mumbai_Maharashtra_India,Indian,"Bachelors of Commerce from Sydenham College, Mumbai",Hinduism,Non-Vegetarian,Travelling_Gymming_Reading ,Divorced,₹35-40 Crores/film,₹1428 Crore ($215 million),images/Hrithik_Roshan.jpg
Amit Trivedi,Amit Trivedi,8 April 1979,,170 cm,64 kg,Black,Black,Aries,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,,Travelling,Married,,,images/Amit_Trivedi.jpg
"Varun Dhawan,",Varun David Dhawan,24 April 1987 (Friday),,180 cm,75 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra,Indian,Graduate in Business Management,Hinduism,Non-Vegetarian,Dancing_Swimming and Reading,Unmarried,30 crores-35 crores ,49.58 crores (2018) ,"images/Varun_Dhawan,.jpg"
Katrina Kaif:,Katrina Kaif:,16 July 1983,,174 cm,55 kg,Brown,Black,Cancer,London_United Kingdom,British,High School,Islam,Non-Vegetarian ,Playing Chess_Painting_Reading,Unmarried,Rs. 6-7 Crores per film,$6 Million,images/Katrina_Kaif:.jpg
Vicky Ratnani,Vicky Ratnani,,,,,,,,,,,,,,,,,images/Vicky_Ratnani.jpg
Pritam Chakraborty,Pritam Chakraborty,14 June 1971,,165 cm,74 kg,Dark Brown,Black,Gemini,Kolkata_West Bengal,Indian,"Graduation in Geology from Presidency College,
Course in Sound Recording and Engineering from FTII, Pune",Hinduism,,Watching movies_Reading,Married,,,images/Pritam_Chakraborty.jpg
K. L.,Kundanlal Saigal,11 April 1904,,175 cm,75 kg,,,Aries,Jalandhar_Punjab_British India, Indian,Not Known,Hinduism,,Singing & Playing Harmonium,Married," 20,000/song (INR)",,images/K._L..jpg
Nivin Pauly,Nivin Pauly,11 October 1984,, 175 cm, 77 kg,,,Libra,Kochi_Kerala_India,Indian,,Christian,,Reading_traveling,Married,,,images/Nivin_Pauly.jpg
N. T.,Nandamuri Taraka Rama Rao,28 May 1923,,,,Black,Grey,Gemini,Nimmakuru_Madras Presidency_British India (Now in Andhra Pradesh_India),Indian,Bachelors of Arts,Hinduism,,,Married,,Not Known,images/N._T..jpg
Mohit Marwah,Mohit Marwah,26 August 1984,,185 cm,80 kg,Dark Brown,Black,Virgo,New Delhi_India,Indian,Graduate,Hinduism,,Travelling_Workouts_Watching cricket & badminton,Married,,,images/Mohit_Marwah.jpg
Pranab Mukherjee,Pranab Mukherjee,11 December 1935,,163 cm,70 kg,Black,Black,Sagittarius.,Mirati_West Bengal,Indian ,"L.L.B and M.A in Political Science and in History as well, all from University of Calcutta,
",Hinduism,,Reading_Gardening and Music,Married,1.5 Lakh Rupee per month ($2200 per month),3 Crore Indian Rupee,images/Pranab_Mukherjee.jpg
Ninad Kamat,Ninad Kamat,19 August,,168 cm,80 kg,Dark Brown,Black,Leo,Mumbai_India,Indian,,Hinduism,,,Married,,,images/Ninad_Kamat.jpg
Prakash Raj,Prakash Raj,26 March 1965,,175 cm,80 kg,Brown,Black,Aries,Bengaluru_Karnataka_India ,Indian ,Not Known,Hinduism,,Photography,Married,1.5 Crore/film (INR) ,150 Crore (INR) ,images/Prakash_Raj.jpg
Rajendra Kumar,Rajendra Kumar,,,,,,,,,,,,,,,,,images/Rajendra_Kumar.jpg
Rajkummar Rao,Rajkummar Rao,31 August 1984,,175 cm,70 kg,Dark Brown,Black,Virgo,Gurugram_Haryana_India,Indian,Bachelor of Arts (B. A.),Hinduism,Vegetarian,Reading_Travelling_Dancing,Unmarried,,,images/Rajkummar_Rao.jpg
Rajat Barmecha,Rajat Barmecha,24 April 1989,, 173 cm, 63 kg,,,Taurus,Delhi_India,Indian,,Hindu,,Dancing,Unmarried,,,images/Rajat_Barmecha.jpg
Sudeep (Actor),Sudeep (Actor),2 September 1973,,185 cm,80 kg,Dark Brown,Black,Virgo,Bengaluru_Karnataka_India,Indian ,B.tech in Mechanical Engineering ,Hinduism,,Playing cricket,Divorced,6 crore/film (INR),Not Known,images/Sudeep_(Actor).jpg
Sushanth (Actor),Sushanth (Actor),18 March,,183 cm,80 kg,Dark Brown,Black,Pisces,Hyderabad_Telangana_India,Indian,B.S in Electrical Engineering,Hinduism,Non-Vegetarian,Dancing_Gymming,Unmarried,,,images/Sushanth_(Actor).jpg
Sunil Arora,Sunil Arora,13 April 1956,,170 cm,75 kg,Black,Grey,Aries,Hoshiarpur_Punjab_India,Indian,"• BA Honours in English,
• MA in English",Hinduism,,Reading_Writing,Not Known,"₹2,50,000",,images/Sunil_Arora.jpg
Upen Patel,Upen Patel,16 August 1982,,176 cm,74 kg,Black,Black,Leo,Ahemdabad_Gujarat_India,British,"Graduate (Computer Science),
Diploma in film-making, (From NIFT, UK),
Diploma in scriptwriting (From UK)",Hindu,,Chilling out with Friends_Watching movies_Reading,Unmarried,Not Known,Not Known,images/Upen_Patel.jpg
Sunil Dutt,Sunil Dutt,6 June 1930,,178 cm,74 kg,Dark Brown,Black,Gemini,Mumbai_Maharashtra_India,Indian ,B.A (Hons.) in History in 1954 from Jai Hind College Bombay (now Mumbai),Hinduism,,Doing Philanthropy_Listening to Music,Married (at the time of death),,20 Crore INR (as in 2004),images/Sunil_Dutt.jpg
Zeishan Quadri,Zeishan Quadri,17 March 1983,,173 cm,70 kg,Dark Brown,Black,Pisces,Wasseypur,Indian,Bachelor of Business Administration (BBA),Islam,,,Unmarried,,,images/Zeishan_Quadri.jpg
Zayed Khan,Zayed Abbas Khan,5 July 1980,,183 cm,80 kg,Dark Brown,Black,Cancer,Bengaluru_Karnataka_India,Indian,"Diploma in Film Making,
Bachelor of Business Management",Islam,Non-Vegetarian,Playing Adventure Sports_Biking_Playing the Guitar,Married,₹1-2 crore/film,,images/Zayed_Khan.jpg
Zeenat Aman,Zeenat Aman,19 November 1951,, 175 cm,65 kg,Brown,Black,Scorpio,Mumbai_Maharashtra_India,Indian,Graduate,Islam,,Reading books_Listening to music_Collecting perfumes,Widow,,,images/Zeenat_Aman.jpg
Zoya Khan,Zoya Khan,17 April 1991,,170 cm,45 kg,Dark Brown,Black,Aries,New Delhi_India,Indian,B.Com. (Hons.) (Accountancy),Islam,Non-Vegetarian,Playing basketball and badminton,Unmarried,,,images/Zoya_Khan.jpg
Zulfi Syed,Zulfi Syed,26 August 1976,,183 cm,75 kg,Black,Brown,Virgo,Bengaluru_Karnataka,Indian,MBA Hotel Management,Islam,,Listening to Music_Travelling,Married,,,images/Zulfi_Syed.jpg
Zaira Wasim,Zaira Wasim,23 October 2000,,155 cm,50 Kg,Black,Black,Scorpio,Srinagar_Jammu & Kashmir_India,Indian,12th standard student in the Humanities stream,Islam,,Breaking things_Sleeping_Listening songs_Reading_Hanging out with friends_Playing with her pet cat,Unmarried,,,images/Zaira_Wasim.jpg
Zareen Khan,Zareen Khan,14 May 1987,,170 cm,55 Kg,Black,Black,Taurus,Mumbai_Maharashtra_India,Indian,College dropout,Islam,,Reading,Unmarried ,₹50 lakh/film,,images/Zareen_Khan.jpg
Yuvika Chaudhary,Yuvika Chaudhary,2 August 1983,,163 cm,55 kg,Dark Brown,Brown,Leo,Baraut_Uttar Pradesh_India,Indian,Not Known,Hinduism,Not Known,Reading_Dancing_Travelling_Singing,Married,,,images/Yuvika_Chaudhary.jpg
Waheeda Rehman,Waheeda Rehman,3 February 1938, 82 Years,160 cm,55 kg,Black,White,Aquarius,Chingleput_Chennai,Indian ,Not Known,Islam,,Listening to music_Photography_Cooking,Widow,,,images/Waheeda_Rehman.jpg
Yami Gautam,Yami Gautam,28 November 1988 ,,162 cm,50 kg,Brown,Black,Sagittarius ,Chandigarh_India,Indian,Degree in Law (honours),Hindu,,Yoga and reading,Unmarried,"1-2 crore/film (INR),
",Not Known,images/Yami_Gautam.jpg
Yana Gupta,Yana Gupta,23 April 1979 ,,170 cm,55 kg,Hazel Green,Black,Taurus ,Brno_Czechoslovakia,Czech,Graduate in Park Architecture and Gardening,Not Known,,Dancing_Travelling,Married,,,images/Yana_Gupta.jpg
Zarina Wahab,Zarina Wahab,17 July 1956,,168 cm,65 kg,Dark Brown,Black,Cancer,Visakhapatnam_Andhra Pradesh_India,Indian,Not Known,Muslim,Non-Vegetarian,Cooking_Reading Books_Spending time with her family,Married,,,images/Zarina_Wahab.jpg
Yogeeta Bali,Yogeeta Bali Chakraborty,13 August 1952 ,,165 cm,64 kg,Dark Brown,Black,Leo,Mumbai, Indian,,Hinduism,,Listening to music_reading books,Married,,,images/Yogeeta_Bali.jpg
Vishakha Singh,Vishakha Singh,5 May 1986,,163 cm,50 kg,Dark Brown,Black,Taurus,Abu Dhabi_United Arab Emirates,"Emirati, Indian",Post Graduation in Advertising and Public Relations,Hinduism,,Travelling,Unmarried,,,images/Vishakha_Singh.jpg
Vijayalakshmi,Vijayalakshmi,,,,,,,,,,,,,,,,,images/Vijayalakshmi.jpg
Vidya Malvade,Vidya Malvade,2 March 1973 ,,165 cm,45 kg,Black,Light Brown,Pisces,Mumbai_Maharashtra_India,Indian,Bachelor Degree in Law ,Hinduism,,Yoga_Swimming_Gymming_Cooking,Married,,,images/Vidya_Malvade.jpg
Vidya Sinha,Vidya Sinha,15 November 1947,,163 cm,70 kg,Black,Black,Scorpio ,Mumbai_India,Indian,Not Known,Hinduism,Vegetarian,Cooking,Divorced,,,images/Vidya_Sinha.jpg
Vithika Sheru,Vithika Sheru,- 1993,,168 cm,55 kg,Brown,Dark Brown,,Bhimavaram_Andhra Pradesh_India,Indian,P.G. Diploma,Hinduism,Non-Vegetarian,Hanging out_Listening to music_Watching movies_Travelling,Married,,,images/Vithika_Sheru.jpg
Veena Malik,Veena Malik,26 February 1984,,163 cm,60 kg,Dark Brown,Black,Pisces,Rawalpindi_Punjab_Pakistan,Pakistani,"B.A. in Sociology, Psychology and Persian",Islam,,Travelling_Watching Movies,Married,,,images/Veena_Malik.jpg
Vibha Chibber,Vibha Chibber,Not Known,,,,Black,Black,,New Delhi_India,Indian,Graduate,Hinduism,,,Married,,,images/Vibha_Chibber.jpg
Vidya Balan,Vidya Balan,1 January 1978 ,,163 cm,70 kg,Dark Brown,Black,Capricorn,Chembur_Mumbai _Maharashtra_India,Indian,Masters degree in Sociology,Hinduism,,Reading,Married,"10 crore/film (INR),
","$15 million,
",images/Vidya_Balan.jpg
Vaishnavi Mahant,Vaishnavi Mahant Macdonald,9 September 1974 (Monday),,165 cm,,Brown ,Black,Virgo,Madhya Pradesh,Indian,,Christianity ,,Reading Books and Listening to Music,Married,,,images/Vaishnavi_Mahant.jpg
Varsha Usgaonkar,Varsha Usgaonkar,28 February 1968,,165 cm,60 kg,Light Brown,Black,Pisces,Goa,Indian,Graduate,Hinduism,Non-Vegetarian,Reading_Singing,Married,,,images/Varsha_Usgaonkar.jpg
Vrushika Mehta,Vrushika Mehta,18 February 1994,,163 cm,56 kg,Dark Brown,Black,Aquarius,Ahmedabad_Gujarat_India,Indian ,,Hinduism,,Watching Cartoons_Dancing_Travelling,Unmarried,,,images/Vrushika_Mehta.jpg
Varalaxmi Sarathkumar,Varalaxmi Sarathkumar,5 March 1985,,168 cm,65 kg,Dark Brown,Black,Pisces,Chennai_Tamil Nadu_India,Indian,"Bachelor of Science (B.Sc.) in Microbiology,
Masters In Business Management",Hinduism,,Dancing_Travelling,Unmarried,,,images/Varalaxmi_Sarathkumar.jpg
Urvashi Rautela,Urvashi Rautela,25 February 1994,,178 cm,57 Kg,Brown,Black,Pisces,Kotdwar_Uttarakhand_India ,Indian,Not Known,Hinduism,,Dancing_reading_yoga_gymming_water sports_biking,Unmarried ,Not Known,$2 million,images/Urvashi_Rautela.jpg
Vaani Kapoor,Vaani Kapoor,23 August 1988 (Tuesday),,165 cm,,Dark Brown,Black,Leo,Delhi_India,Indian,Bachelor in Tourism ,Hinduism,Non-Vegetarian ,Playing with Pets_Dancing_and Listening to Music,Unmarried,,,images/Vaani_Kapoor.jpg
Urvashi Dholakia,Urvashi Dholakia,9 July 1979,,163 cm, 68 kg,Dark Brown,Light Brown (Dyed),Cancer,Delhi_India,Indian ,,Hinduism,Non-Vegetarian,Travelling_Dancing,Divorced,,,images/Urvashi_Dholakia.jpg
Urmila Matondkar,Urmila Matondkar,4 February 1974,,161 cm,50 Kg,Greyish,Brown,Aquarius,Mumbai_Maharashtra_India,Indian,Graduate (B.A. in Philosophy),Hindu,,Studying_Acting,Married,₹1-2 Crores/film,$20 million,images/Urmila_Matondkar.jpg
Vanitha Vijayakumar,Vanitha Vijayakumar,5 October 1982,,168 cm,60 kg,Black,Black,Libra,Chennai_Tamil Nadu_India,India,Not Known,Hinduism,,Shopping_Travelling,Divorced,,,images/Vanitha_Vijayakumar.jpg
Urvashi Sharma,Urvashi Sharma,13 October 1984,,173 cm,58 Kg,Black,Brown,Libra,Delhi_India,Indian,Not Known,Hinduism,,Dancing,Married,,,images/Urvashi_Sharma.jpg
Ulka Gupta,Ulka Gupta,12 April 1997,,158 cm,48 kg,Dark Brown,Black,Aries,Mumbai_Maharashtra_India,Indian,,Hinduism,,Dancing,Unmarried,,,images/Ulka_Gupta.jpg
Urvashi Chaudhary,Urvashi Chaudhary,27 January 1986,, 170 cm, 56 kg,Black,Black,Aquarius,Jammu_Jammu & Kashmir_India,Indian,,Hinduism,,Dancing,Unmarried,,,images/Urvashi_Chaudhary.jpg
Usha Nadkarni,Usha Nadkarni,13 September 1946,,163 cm,65 kg,Brown,Salt & Pepper,Virgo,Mumbai_Maharashtra,Indian,Bachelors in Arts,Hinduism,Non-Vegetarian,Dancing_Reading Books_Listening To Music_Cooking,Married,,₹6.5 Crore,images/Usha_Nadkarni.jpg
